study_id,screen_id,contrast_id,gene_symbol,phenotype_direction,label_code,testing_status
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE018,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE019,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE020,resistance,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE021,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE022,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE023,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE024,resistance,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE025,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE026,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE027,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE028,resistance,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE029,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE030,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE031,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE032,resistance,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE033,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE034,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE035,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE036,sensitization,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE037,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE038,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE039,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE040,resistance,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE041,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE042,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE043,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE044,sensitization,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE045,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE046,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE047,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE048,resistance,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE049,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE050,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE051,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE052,sensitization,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE053,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE054,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE055,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE056,sensitization,U,not_tested
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE057,resistance,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE058,sensitization,U,unknown
SYN-STUDY-08,SYN-SCREEN-08,SYN-SCREEN-08-DRUG-vs-CTRL,GENE059,sensitization,U,unknown
